"","X","contest","candidate_count","year","contested","choice","party","district"
"1355",131,"NC HOUSE OF REPRESENTATIVES DISTRICT 63",2,2012,"Yes","Patty Philipps","DEM",63
"1356",132,"NC HOUSE OF REPRESENTATIVES DISTRICT 63",2,2012,"Yes","Stephen M. Ross","REP",63
"1357",133,"NC HOUSE OF REPRESENTATIVES DISTRICT 64",2,2012,"Yes","Morris McAdoo","DEM",64
"1358",134,"NC HOUSE OF REPRESENTATIVES DISTRICT 64",2,2012,"Yes","Dennis Riddell","REP",64
"1359",135,"NC HOUSE OF REPRESENTATIVES DISTRICT 65",2,2012,"Yes","William E. Osborne","DEM",65
"1360",136,"NC HOUSE OF REPRESENTATIVES DISTRICT 65",2,2012,"Yes","Bert Jones","REP",65
"1361",137,"NC HOUSE OF REPRESENTATIVES DISTRICT 66",1,2012,"No","Ken Goodman","DEM",66
"1362",138,"NC HOUSE OF REPRESENTATIVES DISTRICT 67",2,2012,"Yes","Kevin Furr","DEM",67
"1363",139,"NC HOUSE OF REPRESENTATIVES DISTRICT 67",2,2012,"Yes","Justin P. Burr","REP",67
"1364",140,"NC HOUSE OF REPRESENTATIVES DISTRICT 68",2,2012,"Yes","Kenneth J. Baker","DEM",68
"1365",141,"NC HOUSE OF REPRESENTATIVES DISTRICT 68",2,2012,"Yes","Craig Horn","REP",68
"1366",142,"NC HOUSE OF REPRESENTATIVES DISTRICT 69",1,2012,"No","Dean Arp","REP",69
"1367",143,"NC HOUSE OF REPRESENTATIVES DISTRICT 7",1,2012,"No","Angela R. Bryant","DEM",7
"1368",144,"NC HOUSE OF REPRESENTATIVES DISTRICT 70",1,2012,"No","Pat B. Hurley","REP",70
"1369",145,"NC HOUSE OF REPRESENTATIVES DISTRICT 71",2,2012,"Yes","Evelyn Terry","DEM",71
"1370",146,"NC HOUSE OF REPRESENTATIVES DISTRICT 71",2,2012,"Yes","Kris McCann","REP",71
"1371",147,"NC HOUSE OF REPRESENTATIVES DISTRICT 72",2,2012,"Yes","Charlie Mellies","REP",72
"1372",148,"NC HOUSE OF REPRESENTATIVES DISTRICT 72",2,2012,"Yes","Edward (Ed) Hanes, Jr.","DEM",72
"1373",149,"NC HOUSE OF REPRESENTATIVES DISTRICT 73",2,2012,"Yes","William Stinson","DEM",73
"1374",150,"NC HOUSE OF REPRESENTATIVES DISTRICT 73",2,2012,"Yes","Mark W. Hollo","REP",73
"1375",151,"NC HOUSE OF REPRESENTATIVES DISTRICT 74",2,2012,"Yes","David W. Moore","DEM",74
"1376",152,"NC HOUSE OF REPRESENTATIVES DISTRICT 74",2,2012,"Yes","Debra Conrad","REP",74
"1377",153,"NC HOUSE OF REPRESENTATIVES DISTRICT 75",1,2012,"No","Donny C. Lambeth","REP",75
"1378",154,"NC HOUSE OF REPRESENTATIVES DISTRICT 76",1,2012,"No","Carl Ford","REP",76
"1379",155,"NC HOUSE OF REPRESENTATIVES DISTRICT 77",2,2012,"Yes","William H. Battermann","DEM",77
"1380",156,"NC HOUSE OF REPRESENTATIVES DISTRICT 77",2,2012,"Yes","Harry Warren","REP",77
"1381",157,"NC HOUSE OF REPRESENTATIVES DISTRICT 78",2,2012,"Yes","Allen Ray McNeill","REP",78
"1382",158,"NC HOUSE OF REPRESENTATIVES DISTRICT 78",2,2012,"Yes","Gerald C. Parker","DEM",78
"1383",159,"NC HOUSE OF REPRESENTATIVES DISTRICT 79",2,2012,"Yes","Julia Craven Howard","REP",79
"1384",160,"NC HOUSE OF REPRESENTATIVES DISTRICT 79",2,2012,"Yes","Cristina Victoria Vazquez","DEM",79
"1385",161,"NC HOUSE OF REPRESENTATIVES DISTRICT 8",2,2012,"Yes","Susan Martin","REP",8
"1386",162,"NC HOUSE OF REPRESENTATIVES DISTRICT 8",2,2012,"Yes","Mark Bibbs","DEM",8
"1387",163,"NC HOUSE OF REPRESENTATIVES DISTRICT 80",2,2012,"Yes","Loretta M. Martin","DEM",80
"1388",164,"NC HOUSE OF REPRESENTATIVES DISTRICT 80",2,2012,"Yes","Jerry C. Dockham","REP",80
"1389",165,"NC HOUSE OF REPRESENTATIVES DISTRICT 81",1,2012,"No","Rayne Brown","REP",81
"1390",166,"NC HOUSE OF REPRESENTATIVES DISTRICT 82",1,2012,"No","Larry G. Pittman","REP",82
"1391",167,"NC HOUSE OF REPRESENTATIVES DISTRICT 83",2,2012,"Yes","Linda P. Johnson","REP",83
"1392",168,"NC HOUSE OF REPRESENTATIVES DISTRICT 83",2,2012,"Yes","Jerome Fleming","DEM",83
"1393",169,"NC HOUSE OF REPRESENTATIVES DISTRICT 84",2,2012,"Yes","Rena W. Turner","REP",84
"1394",170,"NC HOUSE OF REPRESENTATIVES DISTRICT 84",2,2012,"Yes","Gene Mitchell Mahaffey","DEM",84
"1395",171,"NC HOUSE OF REPRESENTATIVES DISTRICT 85",2,2012,"Yes","Mitch Gillespie","REP",85
"1396",172,"NC HOUSE OF REPRESENTATIVES DISTRICT 85",2,2012,"Yes","JR Edwards","DEM",85
"1397",173,"NC HOUSE OF REPRESENTATIVES DISTRICT 86",2,2012,"Yes","Jim Cates","DEM",86
"1398",174,"NC HOUSE OF REPRESENTATIVES DISTRICT 86",2,2012,"Yes","Hugh Blackwell","REP",86
"1399",175,"NC HOUSE OF REPRESENTATIVES DISTRICT 87",1,2012,"No","Edgar V. Starnes","REP",87
"1400",176,"NC HOUSE OF REPRESENTATIVES DISTRICT 88",2,2012,"Yes","Martha Alexander","DEM",88
"1401",177,"NC HOUSE OF REPRESENTATIVES DISTRICT 88",2,2012,"Yes","Rob Bryan","REP",88
"1402",178,"NC HOUSE OF REPRESENTATIVES DISTRICT 89",1,2012,"No","Mitchell Smith Setzer","REP",89
"1403",179,"NC HOUSE OF REPRESENTATIVES DISTRICT 9",2,2012,"Yes","Marian N. McLawhorn","DEM",9
"1404",180,"NC HOUSE OF REPRESENTATIVES DISTRICT 9",2,2012,"Yes","Brian Brown","REP",9
"1405",181,"NC HOUSE OF REPRESENTATIVES DISTRICT 90",1,2012,"No","Sarah Stevens","REP",90
"1406",182,"NC HOUSE OF REPRESENTATIVES DISTRICT 91",2,2012,"Yes","Nelson Cole","DEM",91
"1407",183,"NC HOUSE OF REPRESENTATIVES DISTRICT 91",2,2012,"Yes","Bryan Holloway","REP",91
"1408",184,"NC HOUSE OF REPRESENTATIVES DISTRICT 92",2,2012,"Yes","Robin Bradford","DEM",92
"1409",185,"NC HOUSE OF REPRESENTATIVES DISTRICT 92",2,2012,"Yes","Charles Jeter","REP",92
"1410",186,"NC HOUSE OF REPRESENTATIVES DISTRICT 93",2,2012,"Yes","Jonathan C. Jordan","REP",93
"1411",187,"NC HOUSE OF REPRESENTATIVES DISTRICT 93",2,2012,"Yes","Cullie Tarleton","DEM",93
"1412",188,"NC HOUSE OF REPRESENTATIVES DISTRICT 94",1,2012,"No","Jeffrey Elmore","REP",94
"1413",189,"NC HOUSE OF REPRESENTATIVES DISTRICT 95",3,2012,"Yes","Barbara Orr (Write-in)","",95
"1414",190,"NC HOUSE OF REPRESENTATIVES DISTRICT 95",3,2012,"Yes","Write-in (miscellaneous)","",95
"1415",191,"NC HOUSE OF REPRESENTATIVES DISTRICT 95",3,2012,"Yes","C. Robert Brawley","REP",95
"1416",192,"NC HOUSE OF REPRESENTATIVES DISTRICT 96",2,2012,"Yes","Cliff Moone","DEM",96
"1417",193,"NC HOUSE OF REPRESENTATIVES DISTRICT 96",2,2012,"Yes","Andy Wells","REP",96
"1418",194,"NC HOUSE OF REPRESENTATIVES DISTRICT 97",1,2012,"No","Jason R. Saine","REP",97
"1419",195,"NC HOUSE OF REPRESENTATIVES DISTRICT 98",1,2012,"No","Thom Tillis","REP",98
"1420",196,"NC HOUSE OF REPRESENTATIVES DISTRICT 99",1,2012,"No","Rodney W. Moore","DEM",99
